n_folds,test_score,train_score,arch,fixed_parameters
3,0.2542,0.3403,"[2, 3, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4663,"[2, 3, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3107,0.4723,"[2, 3, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4391,"[2, 3, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2994,0.3174,"[2, 4, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3475,0.3957,"[2, 4, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 4, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3107,0.4653,"[2, 4, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 4, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2627,0.2969,"[2, 4, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 4, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2797,0.407,"[2, 4, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3051,0.4401,"[2, 4, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2966,0.482,"[2, 4, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2599,0.3408,"[2, 4, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 5, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 5, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 5, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4784,"[2, 5, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 5, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.4653,"[2, 5, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 5, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
